Street Name,Ward Name,Postcode,Switch Regime,Wattage,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Location,Organisation URI,Last Uploaded
GOLDHURST TERRACE,SWISS COTTAGE,NW6,35/18,60,526231,184203,-0.181098,51.542619,Plotted By Council Officer,"(51.542619, -0.181098)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
WEST HEATH ROAD,HAMPSTEAD TOWN,NW3,35/18,90,526004,186270,-0.18363,51.561246,Plotted By Council Officer,"(51.561246, -0.18363)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
HANDEL STREET,BLOOMSBURY,WC1,35/18,60,530218,182364,-0.124316,51.525187,Plotted By Council Officer,"(51.525187, -0.124316)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
GAGE STREET,HOLBORN AND COVENT GARDEN,WC1,35/18,60,530432,181862,-0.121419,51.520627,Plotted By Council Officer,"(51.520627, -0.121419)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
MILL LANE,FORTUNE GREEN,NW6,35/18,65,524626,185100,-0.203913,51.551037,Plotted By Council Officer,"(51.551037, -0.203913)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:08 PM
ALMA STREET,KENTISH TOWN,NW5,35/18,60,528876,184797,-0.14276,51.54736,Plotted By Council Officer,"(51.54736, -0.14276)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
BEDFORD AVENUE,BLOOMSBURY,WC1,35/18,60,529897,181586,-0.129228,51.518269,Plotted By Council Officer,"(51.518269, -0.129228)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
ORDE HALL STREET,HOLBORN AND COVENT GARDEN,WC1,35/18,60,530601,181928,-0.11896,51.521181,Plotted By Council Officer,"(51.521181, -0.11896)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:22 PM
COLLEGE PLACE,ST PANCRAS AND SOMERS TOWN,NW1,35/18,90,529403,183668,-0.135579,51.537093,Plotted By Council Officer,"(51.537093, -0.135579)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
ALVANLEY GARDENS,WEST HAMPSTEAD,NW6,35/18,60,525716,185284,-0.188134,51.552449,Plotted By Council Officer,"(51.552449, -0.188134)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:08 PM
WICKLOW STREET,KING'S CROSS,WC1,35/18,90,530668,182855,-0.117651,51.529496,Plotted By Council Officer,"(51.529496, -0.117651)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
FAIRFAX ROAD,SWISS COTTAGE,NW6,35/18,96,526343,184142,-0.179506,51.542046,Plotted By Council Officer,"(51.542046, -0.179506)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
NORTH GOWER STREET,REGENT'S PARK,NW1,35/18,61,529267,182592,-0.137933,51.527455,Plotted By Council Officer,"(51.527455, -0.137933)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:22 PM
DOWNSHIRE HILL,HAMPSTEAD TOWN,NW3,35/18,60,526861,185569,-0.171526,51.554754,Plotted By Council Officer,"(51.554754, -0.171526)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
LOXHAM STREET,KING'S CROSS,WC1,70/35,70,530398,182712,-0.121594,51.528273,Plotted By Council Officer,"(51.528273, -0.121594)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
RAGLAN STREET,KENTISH TOWN,NW5,35/18,60,528851,184925,-0.143073,51.548516,Plotted By Council Officer,"(51.548516, -0.143073)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:18 PM
ST PANCRAS WAY,ST PANCRAS AND SOMERS TOWN,NW1,35/18,90,529131,184385,-0.139236,51.543599,Plotted By Council Officer,"(51.543599, -0.139236)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:21 PM
FROGNAL,FROGNAL AND FITZJOHNS,NW3,35/18,60,526157,185399,-0.181736,51.553384,Plotted By Council Officer,"(51.553384, -0.181736)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
BURGHLEY ROAD,KENTISH TOWN,NW5,35/18,90,528916,185717,-0.141846,51.555619,Plotted By Council Officer,"(51.555619, -0.141846)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
WINSCOMBE STREET,HIGHGATE,N19,35/18,60,528847,186541,-0.142539,51.56304,Plotted By Council Officer,"(51.56304, -0.142539)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
ROCHESTER PLACE,CANTELOWES,NW1,35/18,45,529027,184525,-0.140683,51.544881,Plotted By Council Officer,"(51.544881, -0.140683)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
GOLDINGTON CRESCENT,ST PANCRAS AND SOMERS TOWN,NW1,35/18,60,529563,183475,-0.133344,51.535322,Plotted By Council Officer,"(51.535322, -0.133344)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
EVERTON BUILDINGS,ST PANCRAS AND SOMERS TOWN,NW1,35/18,60,529076,182654,-0.140663,51.528055,Plotted By Council Officer,"(51.528055, -0.140663)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:19 PM
CREDITON HILL,WEST HAMPSTEAD,NW6,35/18,60,525681,185042,-0.188725,51.550282,Plotted By Council Officer,"(51.550282, -0.188725)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:08 PM
HIGHGATE ROAD,HIGHGATE,NW5,35/18,90,528604,185787,-0.146319,51.556319,Plotted By Council Officer,"(51.556319, -0.146319)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:16 PM
FORDWYCH ROAD,FORTUNE GREEN,NW2,70/35,50,524772,184799,-0.201915,51.548299,Plotted By Council Officer,"(51.548299, -0.201915)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:08 PM
